variable_name,units,value,data_reference
q_Na_muc_init_mucus,fmol,10500,user_defined
q_H2O_muc_init_mucus,fmol,2765000,user_defined
u_P_muc_init_mucus,kPa,0,user_defined
q_Na_epi_init_cell,fmol,750,user_defined
q_H2O_epi_init_cell,fmol,2766000,user_defined
u_P_epi_init_cell,kPa,0,user_defined
q_1_init_ENaC,fmol,0.001747,user_defined
q_2_init_ENaC,fmol,0.0024,user_defined
q_3_init_ENaC,fmol,0.00193,user_defined
q_4_init_ENaC,fmol,0.003876,user_defined
q_open_init_ENaC,fmol,3.40E-13,user_defined
q_open_int_init_ENaC,fmol,0.003685,user_defined
K_1_ENaC,per_fmol,1.39551477,user_defined
K_2_ENaC,per_fmol,1,user_defined
K_3_ENaC,per_fmol,1,user_defined
K_4_ENaC,per_fmol,0.5,user_defined
K_open_ENaC,per_fmol,6488256446,user_defined
K_open_int_ENaC,per_fmol,0.458179268,user_defined
K_Na_i_ENaC,per_fmol,0.005989862,user_defined
K_Na_o_ENaC,per_fmol,0.002966598,user_defined
kappa_1_ENaC,fmol_per_s,1,user_defined
kappa_2_ENaC,fmol_per_s,1,user_defined
kappa_3_ENaC,fmol_per_s,1,user_defined
kappa_4_ENaC,fmol_per_s,1,user_defined
kappa_5_ENaC,fmol_per_s,1,user_defined
kappa_6_ENaC,fmol_per_s,0.059,user_defined
R,J_per_K_per_mmol,0.008314,known
F,C_per_mmol,96.485,known
T,kelvin,310,user_defined
zNa,dimensionless,1,known
q_e_m_init_membrane,pC,-1.7673,user_defined
C_m_membrane,picoFarad,353.46,user_defined
q_AQ_AQ_apical,fmol,0.16,user_defined
K_AQ_AQ_apical,per_fmol,1,user_defined
K_H2O_i_AQ_apical,per_fmol,1,user_defined
K_H2O_o_AQ_apical,per_fmol,1,user_defined
kappa_1_AQ_apical,fmol_per_s,1,user_defined
V_w,L_per_mmol,0.018,known
