variable_name,units,value,data_reference
q_V_init_lumen,pL,1178.097245,derived
q_Na_init_lumen,fmol,41233.40358,REPLACE_abdom_key_web
q_Cl_init_lumen,fmol,17671.45868,REPLACE_abdom_key_web
q_K_init_lumen,fmol,94247.77961,REPLACE_abdom_key_web
u_P_lumen,kPa,0.2,Sharma_2024
G_muc_lumen,picoS,1,to_be_found
zNa,dimensionless,1,known
zK,dimensionless,1,known
zCl,dimensionless,-1,known
R,J_per_K_per_mmol,0.008314,known
T,kelvin,310,fixed
F,C_per_mmol,96.485,known
u_G_f_Na,J_per_mmol,-261.87,Atkins_2002
u_G_f_K,J_per_mmol,-282.28,Atkins_2002
u_G_f_Cl,J_per_mmol,-131.17,Atkins_2002
c_ref,mM,1000,known
phi_p_o,dimensionless,0.05,to_be_found
omega_Na_muc_tran,L_fmol_per_J_per_s,1,to_be_found
omega_Cl_muc_tran,L_fmol_per_J_per_s,1,to_be_found
omega_K_muc_tran,L_fmol_per_J_per_s,1,to_be_found
L_P_muc_tran,pL_per_kPa_per_s,1,to_be_found
sigma_Na_muc_tran,dimensionless,0,Assumed
sigma_Cl_muc_tran,dimensionless,0,Assumed
sigma_K_muc_tran,dimensionless,0,Assumed
q_V_init_mucus,pL,1021.017612,Pullan_1994
q_Na_init_mucus,fmol,35735.61642,Estimate
q_Cl_init_mucus,fmol,15315.26418,Estimate
q_K_init_mucus,fmol,81681.40896,Estimate
u_e_mucus_init_mucus,volt,0,to_be_found
u_e_Donnan_mucus,volt,-0.015,to_be_found
A_mucus,um2,7538,user_defined
chi_p_mucus,dimensionless,0.3,to_be_found
nu_c_mucus,mM,1.00E+00,to_be_found
V_w,L_per_mmol,0.018,known
C_m_bas,picoFarad,78.54,Estimate
C_m_api,picoFarad,510.51,Helander_2014
q_1_init_ENaC,fmol,6.90E-05,Derived_Bertog_2007_Figure_2
q_2_init_ENaC,fmol,6.90E-05,Derived_Bertog_2007_Figure_2
q_3_init_ENaC,fmol,6.90E-05,Derived_Bertog_2007_Figure_2
q_4_init_ENaC,fmol,6.90E-05,Derived_Bertog_2007_Figure_2
K_1_ENaC,per_fmol,1918.510484,Kellenberger_1999
K_2_ENaC,per_fmol,14298.1985,Kellenberger_1999
K_3_ENaC,per_fmol,390.8177362,Kellenberger_1999
K_4_ENaC,per_fmol,528451.835,Kellenberger_1999
K_Na_o_ENaC,per_fmol,7.843851659,Kellenberger_1999
K_Na_i_ENaC,per_fmol,7.842469402,Kellenberger_1999
kappa_1_ENaC,fmol_per_s,8768.926695,Kellenberger_1999
kappa_2_ENaC,fmol_per_s,4352.410209,Kellenberger_1999
kappa_3_ENaC,fmol_per_s,8760.43105,Kellenberger_1999
kappa_4_ENaC,fmol_per_s,787.3800057,Kellenberger_1999
kappa_5_ENaC,fmol_per_s,21.51984088,Kellenberger_1999
z_1_ENaC,dimensionless,0.25,Kellenberger_1999
z_2_ENaC,dimensionless,0.5,Kellenberger_1999
z_3_ENaC,dimensionless,0.25,Kellenberger_1999
E_a_AQ_api,J_per_mmol,23.4304,Zeuthen_Klaerke_1999
gamma_37_AQ_api,pL_per_kPa_per_s_per_fmol,8.03E+02,Derived_Rodriguez_2019
n_AQ_api,fmol,0.000233529,Derived_Rodriguez_2019_and_Houchin_1958
E_a_AQ_bas,J_per_mmol,23.4304,Zeuthen_Klaerke_1999
gamma_37_AQ_bas,pL_per_kPa_per_s_per_fmol,8.03E+02,Derived_Rodriguez_2019
n_AQ_bas,fmol,3.59E-05,Derived_Rodriguez_2019_and_Houchin_1958
q_1_init_NKE,fmol,2.17E-02,Estimate
q_2_init_NKE,fmol,2.17E-02,Estimate
q_3_init_NKE,fmol,2.17E-02,Estimate
q_4_init_NKE,fmol,2.17E-02,Estimate
q_5_init_NKE,fmol,2.17E-02,Estimate
q_6_init_NKE,fmol,2.17E-02,Estimate
F_NKE,C_per_mol,9.65E+04,known
R_NKE,J_per_K_mol,8.31E+00,known
z_z1_NKE,dimensionless,-0.054951,Ai_2025
z_z2_NKE,dimensionless,-0.94505,Ai_2025
K_1_NKE,per_fmol,0.016727502,Ai_2025
K_2_NKE,per_fmol,4477.021061,Ai_2025
K_3_NKE,per_fmol,46639.87092,Ai_2025
K_4_NKE,per_fmol,720.5754434,Ai_2025
K_5_NKE,per_fmol,1.606899255,Ai_2025
K_6_NKE,per_fmol,30254.31506,Ai_2025
K_Nao_NKE,per_fmol,0.006124201,Ai_2025
K_Ko_NKE,per_fmol,0.009235999,Ai_2025
K_Nai_NKE,per_fmol,0.00083514,Ai_2025
K_Ki_NKE,per_fmol,0.0012595,Ai_2025
K_H_NKE,per_fmol,0.045649955,Ai_2025
K_ADP_NKE,per_fmol,7.98E-05,Ai_2025
K_ATP_NKE,per_fmol,2.371502339,Ai_2025
K_Pi_NKE,per_fmol,0.045649955,Ai_2025
kappa_r1_NKE,fmol_per_s,2838.887577,Ai_2025
kappa_r2_NKE,fmol_per_s,51.10219438,Ai_2025
kappa_r3_NKE,fmol_per_s,469.3484264,Ai_2025
kappa_r4_NKE,fmol_per_s,619068.2942,Ai_2025
kappa_r5_NKE,fmol_per_s,35.86695382,Ai_2025
kappa_r6_NKE,fmol_per_s,868.3565213,Ai_2025
omega_Na_para_tran,L_fmol_per_J_per_s,1,to_be_found
omega_Cl_para_tran,L_fmol_per_J_per_s,1,to_be_found
omega_K_para_tran,L_fmol_per_J_per_s,1,to_be_found
L_P_para_tran,pL_per_kPa_per_s,1,to_be_found
sigma_Na_para_tran,dimensionless,0.9,to_be_found
sigma_Cl_para_tran,dimensionless,0.4,to_be_found
sigma_K_para_tran,dimensionless,0.95,to_be_found
omega_Na_cap_tran,L_fmol_per_J_per_s,1,to_be_found
omega_Cl_cap_tran,L_fmol_per_J_per_s,1,to_be_found
omega_K_cap_tran,L_fmol_per_J_per_s,1,to_be_found
L_P_cap_tran,pL_per_kPa_per_s,1,to_be_found
sigma_Na_cap_tran,dimensionless,0.7,to_be_found
sigma_Cl_cap_tran,dimensionless,0.7,to_be_found
sigma_K_cap_tran,dimensionless,0.7,to_be_found
omega_Na_lym_tran,L_fmol_per_J_per_s,1,to_be_found
omega_Cl_lym_tran,L_fmol_per_J_per_s,1,to_be_found
omega_K_lym_tran,L_fmol_per_J_per_s,1,to_be_found
L_P_lym_tran,pL_per_kPa_per_s,1,to_be_found
sigma_Na_lym_tran,dimensionless,0.05,to_be_found
sigma_Cl_lym_tran,dimensionless,0.05,to_be_found
sigma_K_lym_tran,dimensionless,0.05,to_be_found
G_m_blood,picoS,5000,to_be_found
q_V_init_blood,pL,13.254,Estimate_from_Qi_2009
q_Na_init_blood,fmol,1855.56,Ackerman_1990
q_Cl_init_blood,fmol,1325.4,Morrison_1990
q_K_init_blood,fmol,53.016,Rastegar_1990
u_e_Donnan_blood,volt,-0.003,to_be_found
u_P_blood,kPa,4.5,Neligan_2023_Page_109
q_proteins_blood,fmol,30,to_be_found
q_albumin_blood,fmol,60,to_be_found
G_m_lymph,picoS,5000,to_be_found
q_V_init_lymph,pL,13.254,Estimate
q_Na_init_lymph,fmol,1789.29,Abdreshov_2024_Table_5
q_Cl_init_lymph,fmol,1404.924,Abdreshov_2024_Table_5
q_K_init_lymph,fmol,47.7144,Abdreshov_2024_Table_5
u_e_Donnan_lymph,volt,-0.0015,to_be_found
u_P_lymph,kPa,0,to_be_found
q_proteins_lymph,fmol,15,to_be_found
q_albumin_lymph,fmol,30,to_be_found
q_V_init_int_fluid,pL,100,to_be_found
q_Na_init_int_fluid,fmol,14500,Neligan_2023_Table_1
q_Cl_init_int_fluid,fmol,11500,Neligan_2023_Table_1
q_K_init_int_fluid,fmol,400,Neligan_2023_Table_1
u_P_int_fluid,kPa,0,to_be_found
q_V_init_cell,pL,300,to_be_found
q_Na_init_cell,fmol,3000,Neligan_2023_Table_1
q_K_init_cell,fmol,46500,Neligan_2023_Table_1
u_e_cell_init_cell,volt,-0.05,Rajendran_2018_Section_58_2
u_P_cell,kPa,0,Assumed
c_ATP_init_cell,mM,10,to_be_found
c_ADP_init_cell,mM,0.01,to_be_found
c_Pi_init_cell,mM,0.01,to_be_found
c_Cl_cell,mM,3,Neligan_2023_Table_1
c_H_init_cell,mM,6.30957E-05,pH_7_2
gamma_Kir_Kir,picoS_per_fmol,1,to_be_found
P_Kir_Kir,dimensionless,1,to_be_found
N_Kir_Kir,fmol,1,to_be_found
