variable_name,units,value,data_reference
zNa,dimensionless,1,known
F,C_per_mmol,96.485,user_defined
R,J_per_K_per_mmol,0.008314,known
T,kelvin,310,user_defined
q_1_init_ENaC,fmol,0.1747,user_defined
q_2_init_ENaC,fmol,0.24,user_defined
q_3_init_ENaC,fmol,0.193,user_defined
q_4_init_ENaC,fmol,0.3876,user_defined
q_open_init_ENaC,fmol,3.40E-11,user_defined
q_open_int_init_ENaC,fmol,0.3685,user_defined
K_1_ENaC,per_fmol,1.39551477,user_defined
K_2_ENaC,per_fmol,1,user_defined
K_3_ENaC,per_fmol,1,user_defined
K_4_ENaC,per_fmol,0.5,user_defined
K_open_ENaC,per_fmol,6488256446,user_defined
K_open_int_ENaC,per_fmol,0.458179268,user_defined
K_Na_i_ENaC,per_fmol,0.005989862,user_defined
K_Na_o_ENaC,per_fmol,0.002966598,user_defined
kappa_1_ENaC,fmol_per_s,1,user_defined
kappa_2_ENaC,fmol_per_s,1,user_defined
kappa_3_ENaC,fmol_per_s,1,user_defined
kappa_4_ENaC,fmol_per_s,1,user_defined
kappa_5_ENaC,fmol_per_s,1,user_defined
kappa_6_ENaC,fmol_per_s,0.059,user_defined
u_e_m_ENaC,volt,-0.05,user
