variable_name,units,value,data_reference
q_1_init_ENaC,fmol,0.0015,user_defined
q_2_init_ENaC,fmol,0.0015,user_defined
K_1_ENaC,per_fmol,1.39551477,user_defined
K_2_ENaC,per_fmol,1,user_defined
kappa_1_ENaC,fmol_per_s,1,user_defined
P_Na_ENaC,pL_per_s_per_fmol,1,user_defined
P_o_ENaC,pL_per_s_per_fmol,1,user_defined
c_Na_o_ENaC,mM,145,user_defined
u_e_m_ENaC,volt,-0.05,user_defined
c_Na_i_ENaC,mM,15,user_defined
R,J_per_K_per_mmol,0.008314,known
F,C_per_mmol,96.485,known
T,kelvin,310,user_defined
zNa,dimensionless,1,known
K_Na,per_mM,1,user_defined
